# requested-depth, actual-depth, actual-leaf-count, max-balance, mean-balance, sigma-balance, minimized-depth, minimized-leaf-count, actual-state-count, minimized-state-count, minimized-rte
10, 10, 10, 3, 0.5217391, 0.8782178207271373, 9, 159, 14, 6, :other
10, 10, 20, 4, 0.47727272, 0.9411945109476662, 7, 22, 4, 4, :other
10, 11, 13, 6, 0.55172414, 1.2753960006142713, 1, 1, 2, 2, (:* :sigma)
10, 11, 18, 7, 0.78571427, 1.5665508713900935, 3, 5, 5, 4, :other
10, 11, 19, 6, 0.5882353, 1.191085690077446, 6, 6, 5, 4, :other
10, 12, 10, 8, 1.55, 2.2688102609076854, 4, 5, 4, 4, :other
10, 12, 13, 6, 0.6388889, 1.5303009467599242, 4, 35, 6, 6, :other
10, 12, 26, 6, 1.2142857, 1.779990827768159, 7, 30, 5, 5, :other
10, 12, 30, 5, 0.7580645, 1.3159748486537584, 4, 13, 95, 4, :other
10, 12, 38, 6, 0.6891892, 1.2294326935587951, 0, 1, 3, 3, :other
10, 13, 16, 3, 0.43589744, 0.8410881777875244, 0, 1, 6, 2, :empty-set
10, 13, 17, 5, 0.5833333, 1.3359349618234497, 1, 1, 5, 2, (:* :sigma)
10, 13, 17, 6, 1.0263158, 1.7242365527243333, 0, 1, 3, 2, :epsilon
10, 13, 18, 6, 0.5681818, 1.2862511997119113, 3, 4, 5, 3, :other
10, 13, 29, 7, 0.92156863, 1.5573121295423358, 6, 14, 5, 4, :other
10, 13, 31, 6, 0.85714287, 1.4891900734392276, 0, 1, 2, 2, :epsilon
10, 13, 44, 7, 0.9186047, 1.6082282341140584, 5, 24, 7, 4, :other
10, 14, 16, 7, 0.81578946, 1.4663822858689506, 0, 1, 2, 2, :empty-set
10, 14, 17, 6, 0.85, 1.5898113095584645, 5, 11, 4, 4, :other
10, 14, 23, 8, 0.81578946, 1.6678896713148235, 6, 9, 5, 5, :other
10, 14, 32, 7, 1.0, 1.7534613955464322, 5, 13, 9, 4, :other
10, 14, 38, 6, 0.95652175, 1.517385075357839, 6, 47, 10, 4, :other
10, 14, 41, 6, 0.94285715, 1.5107776075888326, 1, 1, 3, 2, (:* :sigma)
10, 14, 47, 7, 0.6888889, 1.189252280911969, 1, 1, 2, 2, (:* :sigma)
10, 14, 50, 6, 0.8064516, 1.416174344683736, 7, 42, 7, 7, :other
10, 14, 52, 9, 0.7938144, 1.5527703498519407, 16, 2523, 28, 15, :other
10, 15, 18, 12, 1.0714285, 2.4533054198352877, 0, 1, 2, 2, :epsilon
10, 15, 24, 8, 1.175, 2.108168636518436, 6, 28, 5, 3, :other
10, 15, 34, 9, 1.362069, 2.0819277858726477, 1, 1, 2, 2, (:* :sigma)
10, 15, 39, 9, 1.0131578, 1.8952393339533635, 10, 169, 17, 10, :other
10, 15, 49, 11, 0.9777778, 1.9089134651114887, 1, 1, 3, 2, :other
10, 15, 55, 7, 0.69158876, 1.2782231750003088, 0, 1, 2, 2, :epsilon
10, 15, 66, 7, 0.84090906, 1.5117195980904292, 7, 202, 6, 5, :other
10, 15, 67, 8, 0.83687943, 1.6138764990722907, 7, 112, 7, 6, :other
10, 15, 85, 7, 0.7916667, 1.4344991106350322, 0, 1, 2, 2, :empty-set
10, 16, 127, 10, 0.95435685, 1.6828373655233813, 13, 2628, 42, 11, :other
10, 16, 17, 14, 1.0, 2.7052138211575474, 1, 1, 3, 2, (:* :sigma)
10, 16, 25, 8, 0.8032787, 1.6676249148891173, 1, 1, 26, 2, (:* :sigma)
10, 16, 29, 8, 1.1875, 2.105610065990377, 5, 6, 5, 4, :other
10, 16, 30, 12, 1.1754386, 2.4215610958566485, 0, 1, 1, 2, :empty-set
10, 16, 31, 8, 0.63013697, 1.2660676832203825, 0, 1, 2, 2, :epsilon
10, 16, 34, 9, 0.9032258, 1.8726355191870958, 9, 223, 26, 10, :other
10, 16, 38, 8, 1.0625, 1.919269066598011, 0, 1, 2, 2, :empty-set
10, 16, 41, 9, 1.0617284, 1.9835476324458092, 0, 1, 2, 2, :epsilon
10, 16, 53, 9, 0.80701756, 1.48605915316644, 10, 95, 14, 7, :other
10, 16, 78, 7, 0.9127517, 1.579792212596456, 5, 151, 7, 5, :other
10, 16, 85, 12, 0.9503106, 1.8908121829009141, 3, 81, 29, 4, :other
10, 16, 90, 8, 0.86, 1.5812653161313568, 1, 1, 2, 2, (:* :sigma)
10, 17, 28, 7, 0.7419355, 1.4473054370435199, 0, 1, 5, 2, :epsilon
10, 17, 40, 13, 1.0595238, 2.184093963159391, 2, 2, 5, 3, (:cat :sigma (:* :sigma))
10, 17, 49, 10, 1.0490196, 2.228942644695243, 4, 6, 9, 6, :other
10, 17, 60, 11, 0.9354839, 1.8954186510222695, 9, 38, 5, 5, :other
10, 17, 62, 6, 0.853211, 1.5134000124477875, 0, 1, 2, 2, :epsilon
10, 17, 63, 12, 1.0614035, 1.893132036429607, 19, 12561, 12, 40, :other
10, 18, 153, 10, 0.97849464, 1.699537115710389, 12, 1405, 30, 9, :other
10, 18, 43, 11, 0.9325843, 2.076068847816987, 1, 1, 3, 2, (:* :sigma)
10, 18, 72, 11, 1.2, 2.0827332469084414, 0, 1, 19, 2, :empty-set
10, 18, 76, 10, 1.0206896, 1.8512585300452764, 3, 10, 20, 3, :other
10, 18, 78, 11, 1.0784314, 1.9721240722635542, 9, 124, 8, 7, :other
10, 18, 81, 12, 0.875, 1.5989819952246591, 0, 1, 2, 2, :empty-set
10, 19, 100, 12, 0.86384976, 1.6430985888663792, 0, 1, 2, 2, :empty-set
10, 19, 56, 14, 1.3909091, 2.6114971482603426, 5, 12, 3, 3, :other
10, 19, 60, 11, 1.2149533, 2.1400848851326932, 1, 1, 2, 2, (:* :sigma)
10, 19, 83, 12, 1.1366906, 1.9753933725320296, 0, 1, 5, 2, :epsilon
10, 19, 86, 8, 0.9503106, 1.6785132516162153, 7, 128, 13, 9, :other
10, 21, 48, 13, 1.4038461, 2.847128211593998, 0, 1, 5, 2, :epsilon
10, 23, 96, 13, 1.372781, 2.536729937252429, 1, 1, 3, 2, (:* :sigma)
10, 5, 1, 0, 0.0, 0.0, 0, 1, 5, 3, :other
10, 5, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
10, 5, 3, 1, 0.11111111, 0.31426968052735443, 4, 7, 10, 4, :other
10, 6, 4, 2, 0.22222222, 0.6285393610547089, 5, 8, 3, 3, :other
10, 6, 5, 1, 0.2, 0.4, 1, 1, 9, 2, :other
10, 7, 2, 2, 0.25, 0.6614378277661477, 4, 37, 4, 4, :other
10, 8, 8, 2, 0.2631579, 0.6359497880839248, 0, 1, 7, 3, :other
10, 9, 10, 3, 0.44444445, 0.8958064164776166, 2, 2, 4, 2, :other
10, 9, 13, 3, 0.4642857, 0.7783748113465488, 7, 60, 6, 6, :other
10, 9, 6, 5, 1.3, 1.8466185312619388, 4, 7, 5, 4, :other
11, 11, 11, 6, 0.9444444, 1.5446043082730936, 4, 5, 3, 3, :other
11, 13, 41, 8, 0.7619048, 1.411003084764672, 6, 64, 16, 6, :other
11, 13, 56, 6, 0.9032258, 1.4147040127302608, 8, 36, 12, 7, :other
11, 14, 30, 7, 0.73333335, 1.3767917618708925, 1, 1, 9, 2, (:* :sigma)
11, 15, 44, 7, 0.9285714, 1.7098156005122604, 1, 1, 2, 2, (:* :sigma)
11, 16, 29, 12, 1.046875, 2.4394523431243744, 0, 1, 2, 2, :empty-set
11, 16, 60, 8, 0.9212598, 1.7818255666042904, 0, 1, 2, 2, :empty-set
11, 17, 43, 7, 0.8068182, 1.4130717229549519, 9, 426, 38, 11, :other
11, 17, 76, 10, 0.8540146, 1.5261235946227472, 5, 28, 6, 4, :other
11, 17, 78, 10, 1.0233918, 1.9435098664191657, 5, 10, 52, 6, :other
11, 17, 91, 8, 0.7684729, 1.5087890727383686, 0, 1, 2, 2, :empty-set
11, 18, 106, 9, 0.93467337, 1.5758076078407748, 14, 137, 12, 12, :other
11, 18, 43, 13, 1.2282609, 2.236569874050951, 0, 1, 2, 2, :empty-set
11, 18, 59, 9, 1.0762712, 1.7999848382648498, 16, 16620, 53, 24, :other
11, 19, 98, 9, 0.85024154, 1.6686328806684387, 5, 22, 5, 4, :other
11, 20, 70, 15, 1.0333333, 2.316366887078892, 16, 10723, 92, 44, :other
11, 20, 95, 12, 0.9, 1.836396727609933, 2, 2, 3, 3, (:cat :sigma (:* :sigma))
11, 8, 9, 1, 0.31578946, 0.46482951928041294, 1, 1, 2, 2, (:* :sigma)
4, 1, 1, 0, 0.0, 0.0, 0, 1, 2, 2, :epsilon
4, 1, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 1, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 1, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 1, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 1, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 1, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 1, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 1, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 1, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 1, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 1, 1, 0, 0.0, 0.0, 5, 12, 4, 4, :other
4, 1, 1, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 1, 1, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 1, 1, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 1, 1, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 1, 1, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 10, 10, 8, 1.3529412, 2.1404006351365004, 14, 262, 21, 13, :other
4, 10, 10, 9, 1.3684211, 2.558999111819625, 12, 218, 9, 6, :other
4, 10, 11, 9, 1.5294118, 2.6372366789952815, 0, 1, 2, 2, :epsilon
4, 10, 12, 5, 0.8181818, 1.33608531424537, 8, 15, 7, 3, :other
4, 10, 12, 7, 1.1875, 2.098176291449315, 1, 1, 2, 2, (:* :sigma)
4, 10, 13, 7, 1.25, 2.1418449990603894, 0, 1, 2, 2, :empty-set
4, 10, 13, 7, 1.4444444, 2.2662308949301266, 2, 3, 4, 4, :other
4, 10, 16, 5, 1.3333334, 1.7240134054647667, 0, 1, 1, 2, :empty-set
4, 10, 19, 6, 1.375, 1.751487463081975, 1, 1, 3, 2, (:* :sigma)
4, 10, 4, 7, 1.5454545, 2.709029895591153, 2, 2, 4, 4, :other
4, 10, 5, 4, 0.54545456, 1.2331509060227759, 1, 1, 2, 2, :other
4, 10, 7, 8, 2.4545455, 2.965364805509107, 7, 72, 4, 4, :other
4, 10, 8, 6, 1.8461539, 2.4446536280108777, 1, 1, 2, 2, (:* :sigma)
4, 10, 8, 7, 1.8125, 2.6976552318634046, 4, 7, 4, 4, :other
4, 10, 8, 8, 2.0, 2.8284271247461903, 1, 2, 3, 3, :other
4, 10, 9, 8, 1.4375, 2.290435275226087, 1, 2, 3, 3, :other
4, 11, 10, 6, 1.8666667, 2.124983660067897, 0, 1, 2, 2, :epsilon
4, 11, 11, 6, 1.0, 1.9466570535691503, 5, 35, 11, 5, :other
4, 2, 1, 0, 0.0, 0.0, 0, 1, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 2, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 1, 2, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 1, 7, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 3, 4, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 3, 4, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 3, 6, 3, 3, :other
4, 2, 1, 0, 0.0, 0.0, 4, 5, 4, 4, :other
4, 2, 1, 0, 0.0, 0.0, 4, 7, 5, 4, :other
4, 2, 1, 0, 0.0, 0.0, 4, 7, 5, 4, :other
4, 2, 1, 0, 0.0, 0.0, 4, 7, 5, 4, :other
4, 2, 1, 0, 0.0, 0.0, 5, 16, 4, 4, :other
4, 2, 1, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 2, 1, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 2, 2, 0, 0.0, 0.0, 0, 1, 2, 2, :epsilon
4, 2, 2, 0, 0.0, 0.0, 2, 3, 4, 4, :other
4, 2, 2, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 2, 2, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 2, 2, 0, 0.0, 0.0, 5, 6, 4, 4, :other
4, 3, 1, 0, 0.0, 0.0, 0, 1, 2, 2, :empty-set
4, 3, 1, 0, 0.0, 0.0, 0, 1, 2, 2, :empty-set
4, 3, 1, 0, 0.0, 0.0, 0, 1, 3, 3, :other
4, 3, 1, 0, 0.0, 0.0, 0, 1, 3, 3, :other
4, 3, 1, 0, 0.0, 0.0, 0, 1, 5, 3, :other
4, 3, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 3, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 3, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 3, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
4, 3, 1, 0, 0.0, 0.0, 1, 1, 2, 2, :other
