# requested-depth, actual-depth, actual-leaf-count, max-balance, mean-balance, sigma-balance, minimized-depth, minimized-leaf-count, actual-state-count, minimized-state-count, minimized-rte
4, 10, 12, 7, 2.625, 2.5708704751503917, 4, 13, 6, 6, :other
4, 10, 13, 7, 1.9, 2.364318083507378, 3, 8, 4, 4, :other
4, 10, 13, 7, 2.625, 2.496873044429772, 0, 1, 2, 2, :empty-set
4, 10, 13, 9, 2.5, 2.9368350311176825, 0, 1, 2, 2, :empty-set
4, 10, 14, 8, 2.1666667, 2.565800719723442, 0, 1, 3, 2, :empty-set
4, 10, 14, 8, 2.2941177, 2.9458785942468033, 0, 1, 2, 2, :empty-set
4, 10, 14, 9, 2.3529413, 2.8685141977027313, 1, 2, 4, 4, :other
4, 10, 14, 9, 2.4117646, 2.8709257275088067, 3, 6, 5, 5, :other
4, 10, 15, 6, 2.3888888, 2.26418709692387, 0, 1, 2, 2, :empty-set
4, 10, 15, 7, 2.625, 2.595067436503337, 0, 1, 2, 2, :empty-set
4, 10, 15, 7, 2.6875, 2.39057393736316, 6, 11, 6, 6, :other
4, 10, 15, 8, 1.8181819, 2.4240530229042516, 6, 8, 4, 4, :other
4, 10, 15, 8, 2.2222223, 2.5939150066508336, 8, 163, 8, 8, :other
4, 10, 15, 8, 2.2777777, 2.556159348961631, 0, 1, 2, 2, :empty-set
4, 10, 15, 8, 2.4444444, 2.4088314876309775, 0, 1, 2, 2, :empty-set
4, 10, 15, 9, 2.2777777, 2.6833965946074048, 1, 2, 3, 3, :other
4, 10, 15, 9, 2.4117646, 2.7452380916654198, 7, 19, 6, 6, :other
4, 10, 15, 9, 2.625, 3.0388114452858046, 3, 5, 4, 4, :other
4, 10, 16, 7, 1.7727273, 2.2346815551421555, 0, 1, 3, 3, :other
4, 10, 16, 7, 2.1, 2.32163735324878, 0, 1, 2, 2, :empty-set
4, 10, 16, 7, 2.5625, 2.6685377550261493, 1, 2, 3, 3, :other
4, 10, 16, 8, 2.0, 2.3664319132398464, 7, 27, 6, 6, :other
4, 10, 16, 8, 2.0, 2.5298221281347035, 0, 1, 2, 2, :empty-set
4, 10, 16, 8, 2.0526316, 2.480952368293195, 0, 1, 2, 2, :empty-set
4, 10, 16, 8, 2.0526316, 2.564405834753649, 3, 4, 4, 4, :other
4, 10, 16, 8, 2.1578948, 2.4976443195167732, 4, 7, 6, 6, :other
4, 10, 16, 9, 2.1052632, 2.6136229511442393, 0, 1, 2, 2, :empty-set
4, 10, 16, 9, 2.2631578, 2.6525480354429796, 1, 2, 4, 4, :other
4, 10, 16, 9, 2.3888888, 2.5633937766798507, 4, 8, 6, 6, :other
4, 10, 16, 9, 2.3888888, 2.6486660980133814, 1, 2, 3, 3, :other
4, 10, 16, 9, 2.4444444, 2.3622546250521443, 0, 1, 2, 2, :empty-set
4, 10, 16, 9, 2.5294118, 2.5232483046502607, 2, 7, 4, 4, :other
4, 10, 17, 6, 1.9047619, 2.13596776114341, 0, 1, 2, 2, :empty-set
4, 10, 17, 7, 1.8571428, 2.252738318574261, 0, 1, 2, 2, :empty-set
4, 10, 17, 7, 1.9545455, 2.0992914979555435, 6, 9, 6, 6, :other
4, 10, 17, 7, 2.0952382, 2.180099646144685, 0, 1, 2, 2, :empty-set
4, 10, 17, 8, 1.6521739, 2.276700428101921, 0, 1, 2, 2, :empty-set
4, 10, 17, 8, 1.6956521, 2.292421969819838, 0, 1, 2, 2, :empty-set
4, 10, 17, 8, 1.8095238, 2.53769763704271, 0, 1, 2, 2, :empty-set
4, 10, 17, 8, 2.3157895, 2.363152033751963, 0, 1, 2, 2, :empty-set
4, 10, 17, 8, 2.4444444, 2.431785403137699, 0, 1, 2, 2, :empty-set
4, 10, 17, 9, 1.826087, 2.4254479445184964, 0, 1, 3, 3, :other
4, 10, 17, 9, 2.1578948, 2.6608894020556924, 0, 1, 3, 3, :other
4, 10, 17, 9, 2.3888888, 2.5849755831404093, 3, 6, 5, 5, :other
4, 10, 17, 9, 2.4117646, 2.7237263300682883, 0, 1, 3, 3, :other
4, 10, 18, 6, 1.9130435, 1.931726947088962, 0, 1, 3, 3, :other
4, 10, 18, 6, 1.9523809, 2.1707183466745676, 0, 1, 2, 2, :empty-set
4, 10, 18, 6, 2.1578948, 2.2771902792404144, 0, 1, 2, 2, :empty-set
4, 10, 18, 7, 2.05, 2.2688102609076854, 6, 69, 13, 13, :other
4, 10, 18, 7, 2.1, 2.142428528562855, 0, 1, 2, 2, :empty-set
4, 10, 18, 8, 1.64, 2.095328136593407, 14, 2043, 31, 29, :other
4, 10, 18, 8, 1.9047619, 2.3885592769494197, 0, 1, 2, 2, :empty-set
4, 10, 18, 8, 1.9130435, 2.338952635880481, 1, 2, 3, 3, :other
4, 10, 18, 8, 1.9523809, 2.4587296463667783, 0, 1, 2, 2, :empty-set
4, 10, 18, 8, 1.9565217, 2.235645240379555, 0, 1, 2, 2, :empty-set
4, 10, 18, 8, 2.1, 2.3, 0, 1, 2, 2, :empty-set
4, 10, 18, 9, 1.8571428, 2.641891715558133, 0, 1, 2, 2, :empty-set
4, 10, 18, 9, 1.9047619, 2.4862433299441165, 5, 8, 5, 5, :other
4, 10, 18, 9, 1.9090909, 2.5389527352307164, 0, 1, 2, 2, :empty-set
4, 10, 18, 9, 1.95, 2.7290108097990378, 0, 1, 2, 2, :empty-set
4, 10, 18, 9, 2.1, 2.364318083507378, 0, 1, 2, 2, :empty-set
4, 10, 18, 9, 2.2631578, 2.691939337377773, 0, 1, 3, 3, :other
4, 10, 18, 9, 2.3157895, 2.6960523104980414, 0, 1, 2, 2, :empty-set
4, 10, 19, 6, 2.1818182, 1.7744746632675577, 0, 1, 2, 2, :empty-set
4, 10, 19, 7, 1.48, 2.0222759455623263, 9, 307, 8, 6, :other
4, 10, 19, 7, 1.52, 2.193080025899648, 5, 15, 5, 5, :other
4, 10, 19, 7, 1.8181819, 2.289032420366213, 2, 2, 3, 3, :other
4, 10, 19, 7, 1.826087, 2.179991502038552, 0, 1, 2, 2, :empty-set
4, 10, 19, 7, 1.8636364, 2.2011454568733186, 0, 1, 2, 2, :empty-set
4, 10, 19, 7, 2.1, 2.32163735324878, 1, 3, 5, 5, :other
4, 10, 19, 8, 1.4444444, 2.2166597048066667, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 1.6521739, 2.2957180491207105, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 1.7083334, 2.2075470298249344, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 1.8695652, 2.289946796915425, 5, 30, 5, 5, :other
4, 10, 19, 8, 1.9130435, 2.1851881518485325, 1, 11, 3, 3, :other
4, 10, 19, 8, 2.0, 2.5298221281347035, 2, 3, 4, 4, :other
4, 10, 19, 8, 2.0454545, 2.3253010113506662, 0, 1, 3, 3, :other
4, 10, 19, 8, 2.047619, 2.2141577023928893, 18, 2732, 15, 19, :other
4, 10, 19, 8, 2.090909, 2.0650575802910085, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 2.142857, 2.4159335036125373, 0, 1, 2, 2, :empty-set
4, 10, 19, 8, 2.4761906, 2.402757297436736, 0, 1, 2, 2, :empty-set
4, 10, 19, 9, 1.875, 2.4206145913796355, 0, 1, 2, 2, :empty-set
4, 10, 19, 9, 1.9090909, 2.4846637034029904, 3, 5, 4, 4, :other
4, 10, 19, 9, 2.0952382, 2.4862433299441165, 0, 1, 2, 2, :empty-set
4, 10, 20, 5, 1.6538461, 1.7961991428977873, 0, 1, 2, 2, :empty-set
4, 10, 20, 5, 2.0, 1.8650096164806274, 0, 1, 2, 2, :empty-set
